Questions,Category
"Explain the double meaning the author attributes to the term ""successive action descriptions""",BT2
Explain the possible uses described in class for the space to the left of the vertical line.,BT2
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,BT2
Explain what a poem means.,BT2
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",BT2
Express your opinion of 'Drugs in Sport' through poetry.,BT2
From a blueprint to describe the article depicted.,BT2
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",BT2
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",BT2
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",BT2
Illustrate what you think the main idea was.,BT2
In one sentence explain the main idea of a written passage.,BT2
In one sentence illustrate the main point of a written passage.,BT2
Interpret the pictures.,BT2
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,BT2
Outline the most important insight of the tale.,BT2
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,BT2
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",BT2
Paraphrase an important speech,BT2
Paraphrase what Hamlet is saying in his soliloquy.,BT2
Paraphrase the poem in your own words,BT2
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",BT2
Describe the output of this program fragment:,BT2
Classify types of corrosion inhibitors  ,BT2
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,BT2
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",BT2
"Classify the following substances as particle, atom, element, molecule, compound",BT2
How would you classify the geographic location of your school,BT2
Classify animals into two groups.,BT2
Classify celebrations into family and community categories.,BT2
Classify frogs toads and other amphibians.,BT2
Restate main idea of story in own words.,BT2
Restate the Olympic motto in your own words.,BT2
Retell the story in your words.,BT2
Rewrite the principles of test writing.,BT2
Rewrite you predicted equation for the ideal gas law,BT2
Rewrite the markov matrix to account for this slight change.,BT2
"Rewrite the sentence in your head, following the direction given below",BT2
Rewrite a part in the poem using a different speaker,BT2
Select the best title for a passage,BT2
State in your own words the rule for balls and strikes in baseball.,BT2
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,BT2
Apply laws of statistics to evaluate the reliability of a written test.,BT3
Apply shading to produce depth in drawing.,BT3
Apply the rule of law to a new situation,BT3
Apply the storytelling technique here to a little story of your own.,BT3
Apply your understanding the Olympic spirit to develop a new motto or slogan.,BT3
Show the value of x after running this program fragment,BT3
Calculate for x in the following equation: 12x=36,BT3
Calculate the deflection of a beam under uniform loading.,BT3
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,BT3
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,BT3
Can you apply the method used to some experience of your own . . .?,BT3
Can you group by characteristics such as . . .?,BT3
Categorise the pictures and add them to the wall display.,BT3
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,BT3
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,BT3
Compute the area of actual circles.,BT3
Compute the volume of a cylinder,BT3
Construct a model to demonstrate how it will work.,BT3
Demonstrate how the seasons occur.,BT3
Demonstrate how this could work in an industry setting?,BT3
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,BT3
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,BT3
Derive a kinetic model from experimental data.,BT3
Describe an experiment to answer the question of the effects of weight on the fall of an object.,BT3
Construct a market strategy for your product using a known strategy as a model.,BT3
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,BT3
"Draw 3 pictures showing the beginning, middle and ending of the story.",BT3
Draw a picture of the bears' house.,BT3
Draw a picture of the gown Cinderella wore to the ball.,BT3
"From the information given, can you develop a set of instructions about . . .?",BT3
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,BT3
How might lifestyles in the United States be modified if a more socialistic system were adopted?,BT3
"If notes are available on the professor’s website, how should those notes be used?",BT3
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",BT3
Make a diorama to illustrate an important event.,BT3
Make a paper-mache map to include relevant information about an event.,BT3
Make a scrapbook about the areas of study.,BT3
Make up a puzzle game using the ideas from the study area.,BT3
Model an Olympic Village for the new Millenium.,BT3
Participate in a mock election,BT3
Predict what happens to X if Y increases.,BT3
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,BT3
Relate the principle of reinforcement to classroom interactions.,BT3
Relate topographic map to field features,BT3
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,BT3
How would you relate position concept with position strategy,BT3
"Show, through role-play, the final scene in the novel.",BT3
Solve a math problem using familiar procedure or formula,BT3
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,BT3
Would you solve these two problems using similar approaches,BT3
Use Laplace to solve the following problems,BT3
Can you solve the following problem ,BT3
How to specify the impact energy and impact test temperature of the material in the Code,BT3
Specify the thickness of a galvanized coating based on atmospheric data? (level 2),BT3
Specify the thickness of a galvanized coating based on atmospheric data? (level 2),BT3
How does one specify the syntactical restrictions,BT3
Specify a deterministic finite automaton (DFA) recognizing the,BT3
Take a collection of photographs to demonstrate a particular point.,BT3
Use a costing model to compute prices on goods to maximise profits and minimise costs.,BT3
Use a manual to calculate an employee's vacation time.,BT3
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,BT3
Use the rule for a semicolon in a sentence.,BT3
What factors would you change if . . .?,BT3
What factors would you change if . . .?,BT3
Who can use what we know about sonnets and finish this poem?,BT3
Would this information be useful if you had a . . .?,BT3
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,BT3
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,BT3
Sketch a typical absorption process in a packed column with regeneration in form of,BT3
sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,BT3
Analyze safe and dangerous aspects of these features.,BT4
Analyze the characteristics of frogs.,BT4
Analyze the movements and sounds of a frog.,BT4
"Analyze the problem, identifying its variables.",BT4
Break down the components of a standard film camera and explain how they interact to make the machine work.,BT4
Break down the main actions of the story.,BT4
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",BT4
Can you compare your . . . with that presented in . . .?,BT4
Can you distinguish between . . .?,BT4
Can you explain what must have happened when . . .?,BT4
Can you find four different feelings Pa Lia had during the story?,BT4
Compare and contrast animals that the class has made.,BT4
Compare and contrast our school to other communities.,BT4
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",BT4
Compare and contrast the waterfall model with the prototyping model.,BT4
Compare and contrast two characters in the book.,BT4
Compare fall and spring,BT4
Compare herbatious and carnivorous animals on a Venn diagram.,BT4
Compare how different children come to school.,BT4
Compare the place where the story happened with where you live.,BT4
Compare this book to the last book you read.,BT4
Compare three celebrations using a Venn diagram.,BT4
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,BT4
Compare two of the characters in this book.,BT4
Conduct an investigation to produce information to support a view.,BT4
Contrast building in the coastal zone with building in a river floodplain.,BT4
Contrast Olympic athletes of today with athletes of past Olympic games.,BT4
Differentiate between .call by value and call by reference.,BT4
Differentiate printf function calls for displaying prompts and for echoing data.,BT4
Distinguish between micro and macro economics.,BT4
Distinguish facts from hypotheses,BT4
"Divide the story into initiating event, rising action, climax, and falling action",BT4
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",BT4
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",BT4
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,BT4
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",BT4
How does your pet differ from other animals?,BT4
How does...compare/contrast with...?,BT4
How is . . . similar to . . .?,BT4
How was life different in your town 100 years ago?,BT4
How was this similar to . . .?,BT4
How would this story be different if it had happened in a different country?,BT4
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,BT4
"If your story happened in a foreign land, compare that land to the United States.",BT4
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",BT4
Investigate innovations that can enhance future Olympics.,BT4
Make a diagnosis or analyze a case study.,BT4
Select the athlete of the century and analyze why you chose this person.,BT4
"If interest were compounded monthly instead of daily, what would the difference in interest be?",BT4
What are the parts or features of...?,BT4
Distinguish between the following giving suitable examples,BT4
Distinguish between abstract date types (ADTs) and implementations of ADTs,BT4
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",BT4
How does Tdap differ from Td vaccine,BT4
How does autonomy differ with age,BT4
In what ways do female offenders differ from male offenders,BT4
in what ways trajectory patterns differ according to ABC,BT4
How do psychologists differ in their general attitudes toward third party presence,BT4
How did Chinese newspapers differ from US,BT4
How does public health reporting differ today from reporting two years before,BT4
How does an endorsement differ from a teaching certificate,BT4
How do we differentiate between genuine buyer and undercover buyer,BT4
How do we differentiate between an interview and an interrogation?,BT4
Differentiate between the following terms along with appropriate examples,BT4
Differentiate the following functions using the quotient rule,BT4
Can you differentiate between ethnic Chinese and ethnic Koreans,BT4
How would you differentiate obstructive apneas from central apneas,BT4
How would you differentiate a project from a program,BT4
How is scientific progress similar to Darwinian evolution according to Kuhn,BT4
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",BT4
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,BT5
Can you create new and unusual uses for . . .?,BT5
Can you design a . . . to . . .?,BT5
Can you develop a proposal which would . . .?,BT5
Can you invent another character for the story?,BT5
Can you see a possible solution to . . .?,BT5
Can you write a new recipe for a tasty dish?,BT5
Choose a character. Rewrite a scene from the story from this character's point of view.,BT5
Combine any two sports to develop a new Olympic sport.,BT5
"Combine elements of drama, music, and dance into a stage presentation.",BT5
Compose a class story.,BT5
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,BT5
Compose a rhythm or put new words to a known melody.,BT5
Compose a simple rap or rhyme about zoo animals.,BT5
Compose music for a frog play.,BT5
Compose a complete C program that reads text strings from a text file into a suitable data,BT5
Compose a device that would assist an athlete in their training.,BT5
Compose an original work which incorporates five common materials in sculpture.,BT5
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,BT5
Create a chart that compares things that use electricity and things that do NOT use electricity.,BT5
Create a new product. Give it a name and plan a marketing campaign.,BT5
"Create a new song for the opening line of ""Mary had a little lamb"".",BT5
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,BT5
Create a storyboard for a sequel to your book. Use the same characters.,BT5
Create an equation to represent the solution to this problem.,BT5
Create and perform a play about frogs.,BT5
Create plan of local environment by drawing around boxes.,BT5
Design a building according to given specifications,BT5
design a cost effective strategy to generate reliable data.,BT5
Design a machine to perform a specific task.,BT5
Design a new animal to live in the jungle.,BT5
Design a poster for this book.,BT5
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,BT5
Design and make an animal that moves.,BT5
Design costumes for the characters.,BT5
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,BT5
Develop a hypothesis.,BT5
Develop a plan for a new Olympic Bid System.,BT5
Develop a SQA Plan for a software development project which is defined in the attached document.,BT5
"Develop a way to teach the concept of ""adjectives"".",BT5
Develop one plausible ending for all three short stories below.,BT5
Devise a new economic system based on the ones that already exist.,BT5
Devise plans to market or make artwork more valuable.,BT5
Draw a painting that uses various principles of perspective to achieve its effect.,BT5
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",BT5
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,BT5
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",BT5
Given two opposing theories design an experiment to compare them.,BT5
How could we determine the number of pennies in a jar without counting them?,BT5
How could you re-write this story with a city setting?,BT5
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",BT5
How many ways can you . . .?,BT5
How would the U.S.A. be different if the South had won the Civil War?,BT5
How would you change the story to create a different ending?,BT5
How would you create/design a new...?,BT5
How would you restructure the school day to reflect children's developmental needs?,BT5
Identify one problem in the book and give an alternate solution one not given by the author.,BT5
If you had access to all resources how would you deal with . . .?,BT5
Integrate training from several sources to solve a problem.,BT5
Invent a machine to do a specific task.,BT5
Justify your choice of data structure.,BT5
Make a radio announcement that advertise the book. Write it out.,BT5
Make up a new language code and write material using it.,BT5
Name one character. Rewrite the story from this character's point of view.,BT5
Organize this book into three or more sections and give your own subtitle for each section.,BT5
Plan a research paper on a given historical topic,BT5
Predict the differences of a planet with no seasonal changes.,BT5
Prepare a book jacket that illustrates the kind of book as well as the story.,BT5
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,BT5
Revise and process to improve the outcome.,BT5
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",BT6
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",BT6
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible",BT6
Appraise data in support of a hypothesis.,BT6
Appraise the speech's effectiveness based upon the class' criteria.,BT6
Are there students who should not use the Cornell method?,BT6
Are you a . . . person?,BT6
Assess the appropriateness of an author's conclusions based on the evidence given.,BT6
Assess the importance of understanding seasonal patters.,BT6
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,BT6
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,BT6
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",BT6
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,BT6
Can you defend your position about . . .?,BT6
Choose a paint schedule for the maintenance of an outdoor structure? (level 2),BT6
Choose and illustrate the two most important events in the story.,BT6
Conclude and support which economic system leads to a higher standard of living.,BT6
Construct a poster that will advertise your new food product in an exciting and irresistible way.,BT6
Critique an experimental design or a research proposal.,BT6
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",BT6
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,BT6
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,BT6
Decide whether you learned enough about electricity from this book.,BT6
Decide which candidate would best fill the position of principal.,BT6
Decide which course of action was most effective,BT6
Decide which method of solving a problem was most effective ,BT6
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,BT6
Defend your use of a specific strategy in solving the problem.,BT6
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,BT6
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,BT6
Determine if a character’s actions were heroic ,BT6
Do you agree...?,BT6
Do you think . . . is a good or a bad thing?,BT6
Establish criteria for making this choice and defend your final selection.,BT6
"Evaluate a work of art, giving the reasons for your evaluation.",BT6
Evaluate appropriate and inappropriate actions of characters.,BT6
Evaluate board games and justify why rules are important.,BT6
Evaluate the corrosion monitoring needs of a chemical processing plant ,BT6
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,BT6
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,BT6
Evaluate whether their model is a true representation of the local environment.,BT6
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,BT6
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,BT6
Explain and justify a new budget.,BT6
Explain choices made in making recommendations to an end user.,BT6
"Given an argument on any position, enumerate the logical fallacies in that argument.",BT6
"Given the data available on a research question, take a position and defend it.",BT6
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",BT6
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",BT6
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",BT6
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",BT6
How effective are . . .?,BT6
How would you decide about...?,BT6
How would you feel if . . .?,BT6
How would you have handled . . .?,BT6
"improved, reformed or rejected?",BT6
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",BT6
Is there a better solution to . . .?,BT6
udge aesthetic qualities and relationship to future values.,BT6
judge the difficulty level for yourself.,BT6
Judge the value of . . .?,BT6
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,BT6
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,BT6
Justify and nominate ways to prevent animal extinction.,BT6
Justify the title To Kill a Mockingbird .,BT6
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,BT6
Place the following in order of priority...,BT6
Predict what will happen next in.,BT6
What is the biggest city in Japan,BT1
Who wrote War and Peace,BT1
How many ounces in a pound,BT1
How would you illustrate the water cycle,BT2
What is the main idea of this story,BT2
"If I put these three blocks together, what shape do they form",BT2
How would you use your knowledge of latitude and longitude to locate Greenland,BT3
What happens when you multiply each of these numbers by nine,BT3
"If you had eight inches of water in your basement and a hose, how would you use the hose to get the water out",BT3
What are some of the factors that cause rust,BT4
Why did the United States go to war with England,BT4
Why do we call all these animals mammals,BT4
How would you assemble these items to create a windmill,BT5
How would your life be different if you could breathe on mountain,BT5
Construct a tower with bricks of 1inch,BT5
Put these words together to get meaning,BT5
What do you think about your job ,BT6
What story did you like the best for reading,BT6
Do you think that the police did right thing to poor people,BT6
"What does the following program do? #include int main() { char ch; int vcnt = 0, ccnt=0; for ( ch = getchar(); ch != ‘\n’; ch=getchar()){ if(ch==’a’ || ch==’e’ || ch==’i’ || ch==’o’ || ch==’u’ || ch==’A’ || ch==’E’ || ch==’I’ || ch==’O’ || ch==’U’) vcnt++; else if((ch >= ‘a’ && ch <= ‘z’) || (ch >= ‘A’ && ch <= ‘Z’)) ccnt++; } printf( “ %d %d\n”, vcnt, ccnt); } Rewrite the above program using while and switch constructs.",BT4
"Identify the bug in the following function written to return the swapped values of two integer variables given: Appendix 42 int swap( int *x, int *y) { int *temp; temp = x, x=y, y = temp; }",BT4
What is an algorithm,BT1
Is it mandatory to declare main() function with return type as void or int. What will be the effect if there is no return type declared for main() function?,BT4
When a user writes “int x;” is it treated as declaration or definition in C.,BT4
What is meant by iterative statements,BT1
Why do you think Benjamin Franklin is so famous,BT6
How would you define Law of motion,BT1
What happened after Shahajans death,BT1
How many players can play in a crecket team,BT1
Can you name the three musketeers,BT1
Can you tell why you fighting with them,BT1
Find the meaning of differentiation,BT1
What is your Name,BT1
Which is true or false,BT1
Can you write in your own words about computer,BT2
Can you write brief outline for technology,BT2
Can you distinguish between good and bad,BT2
Can you design a Machine learning model for image classificaiton,BT5
"Calculate the corner frequency and maximum gain of a bipolar common emitter circuit with coupling capacitor. The components are: R1 = 51.2 K?, R2 = 9.6K?, Rc =2K?, RE = 0.4K?, Rsi = 0.1K?, Cc = 1uF, and Vcc = 10V, VBE(on) = 0.7 V, ? = 100, VA = 0.",BT3
"In the ckt shown below, the threshold voltage of each nmos transistor is 0.8V. Ignoring the effect of channel length modulation and body bias, find Vout1 and Vout2. ",BT4
List ideal characteristics of Op-Amp,BT1
Derive the expression for the conversion efficiency of the class A and class B power amplifier.,BT1
"Assume the power flow through a material with a thermal resistance parameter of ?=2.4 C/W is P = 8W. 1) Determine the resulting temperature difference across the material. 2)If the thermal resistance of the material is  ?=3,7 C/W. If the temparature across the material is ?T = 85 C, find the power flow through the material.",BT4
"What turns ratio is required to match a 16? speaker load to an amplifier, so that the effective load resistance is 10K?.",BT3
"Consider a feedback amplifier with an open loop low frequency gain of 10, an open loop bandwidth of 200 ? rad/sec, and closed loop low frequency gain of 50. Find bandwidth with feedback.",BT3
"Determine the input resistance of a shunt input connection and the output resistance of a series output connections, for a feedback current amplifier in which open loop gain is 10^5 and closed loop gain is 50. Assume the input and output resistance of the basic amplifier are 10K? and 20K?.",BT2
"An amplifier has an open loop gain 100,000. A negative feedback of 10 dB is applied. Find 1)gain with feedback 2)feedback fraction(?).",BT3
Find the Fourier integral representation of f(x),BT1
"Find the Fourier integral representation of f(x). Hence, using this find the fourier cosine transform of g(x).",BT3
State second shifting theorem Determine the response of the damped mass-spring system governed by the equation,BT5
Find laplace transform of with the domain of transform function,BT4
Find and sketch cost*[H(t-u)+H(t-2u)],BT2
Let fn be a sequence such that Z then for any 'a' real or complex constant show that ,BT2
Let fn be a sequence such that Z then for any 'a' real or complex constant show that Hence find z and sketch the ROC. ,BT3
"For any 'a' real or complex constant, find z -transform of fn ",BT4
"For any 'a' real or complex constant, find z -transform of fn sketch the ROC Hence find z and z with ROC",BT4
consider a silicon at T = 300K doped with phosphorous at a concentration of Nc = 10^16 cm^-3/ What is hole ocncentration,BT3
Calculate drift current density for a given semiconductor consider silicon at T =300K doped with arsenic atoms at a concentration of Nd = 8*10^15 com^-3. Assume uUn=1350cm^3/V-x and up = 480 cm^2/V-s/ Assume the applied electric field is 100V/cm.,BT3
Calculate diffusion current density for given semiconductor. Consider Silicon at T=300K Assume the electron concentration varies lineraly from n = 10^12 to n= over the distance from x=0 ot x= 3um. Assume Dn= 35 cm^2/x,BT3
Determine the built-in potential barrier Vb in a silicon pn junction for Nc=Na=10^17 cm^-3 ,BT3
Silicon doped with 2*10^17 boron atom/cm^3  Then the material becomes,BT1
The diode cut-in voltage is Vt - 0.7 in the circuit shown in figure find I and V0 in the circuit.,BT3
The diode cut-in voltage is Vt - 0.7 in the circuit shown in figure find I and V0 in the circuit.,BT3
"For a pn junction diode, what must be the forward-bias voltage to produce a current of 150 UA if(a) I0 = 10^-11 and (b)Is=10^-13A.",BT3
The reverse bias saturation current of a gallium arsenide pn junction diode is Ic=1*10^-23A Determine the diode current for (a) Vo=V (b)Vd=1.3V,BT3
Consider the circuit shown in figjre determine the value of resistance R required to limit the power dissipated in the Zener diode to 10mw.,BT3
An npn transistor is biased in the forward-active mode. The base current Ib=8.06uA and the emitter current is Ie = 0.67 mA. Determine ?,BT2
You are appointed as site engineer and have been tasked to carry out site investigations for an earth dam construction site. Describe the investigation procedure and discuss what information is required for the preparation and presentation of the report.,BT3
A standard penetration test was carried out at a site. The soil profile is given in figure 1(b) below with the penetration values. The average soil data are given for each layer. Compute the corrected values of N and plot showing the variation of observed and corrected values with depth.,BT3
"The unit weight of a soil of a 30° slope is 17.5kN/m3 . The shear parameters c and ? for the soil are 10 kN/m2 and 20° respectively. Given that the height of the slope is 12 m and the stability number obtained from the charts for the given slope and angle of internal friction is 0.025, compute the factor of safety.",BT2
"For the retaining wall shown in figure 2(a), draw the active earth pressure distribution diagram and obtain total active force on the wall.",BT3
"A retaining wall 4.5 m high with a vertical back supports a horizontal fill weighing 18.60 kN/m3 and having ? = 32°, ? = 20°, and c = 0. Determine the total active thrust on the wall by Culmann’s graphical method.",BT3
"A canal having side slope 1:1 is proposed to be constructed in cohesive soils to a depth of 4.5m below the ground surface. The soil properties are a given below; ?u=15?, cu=10kN/m2 . e=1.0 G=2.65. find the factor of safety with respect to cohesion against failure of bank slopes; i) When the canal is full of water and. ii) When there is sudden draw down of water in canal.",BT3
"Determine the depth at which a circular footing 2m diameter be founded to provide a factor of safety of 3.0. If it has to carry a safe load of 1500 kN. The foundation soil has c=15 kN/m2 , ?=30? and unit weight of soil ?=18kN/m3 .",BT3
"A large scale bearing capacity test on a footing of size 1.05mX1.05m at a depth of 1.5m yielded an ultimate value of 141 kN. Unconfined compressive tests on the soft saturated clay yielded a strength of 0.03 N/mm2 . If the unit weight of the soil is 16 kN/m3 , how much does the test value differ from that obtained using Terzaghi’s bearing capacity equation?",BT3
"Design a pile foundation system in 20 m thick soft clay with undrained cohesion of 60kPa, density of 18kN/m3 and water content of 30%. The clay layer is underlined by hard rock. The pile foundation should carry a load of 6500 kN. Take liquid limit=60%, G=2.7.",BT3
